,timestamp,value
0,2021-01-01,4.69785886363739
1,2020-01-01,1.23358439630637
2,2019-01-01,1.81221007526015
3,2018-01-01,2.44258329692818
4,2017-01-01,2.13011000365963
5,2016-01-01,1.26158320570537
6,2015-01-01,0.118627135552435
7,2014-01-01,1.62222297740821
8,2013-01-01,1.46483265562714
9,2012-01-01,2.06933726526059
10,2011-01-01,3.15684156862206
11,2010-01-01,1.64004344238989
12,2009-01-01,-0.35554626629975
13,2008-01-01,3.83910029665101
14,2007-01-01,2.85267248150136
15,2006-01-01,3.22594410070407
16,2005-01-01,3.39274684549547
17,2004-01-01,2.67723669309173
18,2003-01-01,2.27009497336113
19,2002-01-01,1.58603162650603
20,2001-01-01,2.82617111885402
21,2000-01-01,3.37685727149935
22,1999-01-01,2.18802719697358
23,1998-01-01,1.55227909874362
24,1997-01-01,2.33768993730741
25,1996-01-01,2.9312041999344
26,1995-01-01,2.80541968853655
27,1994-01-01,2.6074415921546
28,1993-01-01,2.95165696638554
29,1992-01-01,3.0288196781497
30,1991-01-01,4.23496396453853
31,1990-01-01,5.39795643990322
32,1989-01-01,4.82700303008949
33,1988-01-01,4.07774110744408
34,1987-01-01,3.66456321751691
35,1986-01-01,1.89804772234275
36,1985-01-01,3.54564415209369
37,1984-01-01,4.30053547523427
38,1983-01-01,3.21243523316063
39,1982-01-01,6.13142700027494
40,1981-01-01,10.3347153402771
41,1980-01-01,13.5492019749684
42,1979-01-01,11.2544711292795
43,1978-01-01,7.63096383885602
44,1977-01-01,6.50168399472839
45,1976-01-01,5.74481263549085
46,1975-01-01,9.14314686496534
47,1974-01-01,11.0548048048048
48,1973-01-01,6.17776006377041
49,1972-01-01,3.27227824655283
50,1971-01-01,4.29276668813045
51,1970-01-01,5.83825533848253
52,1969-01-01,5.4623862002875
53,1968-01-01,4.27179615288534
54,1967-01-01,2.77278562259307
55,1966-01-01,3.01507537688439
56,1965-01-01,1.58516926383669
57,1964-01-01,1.27891156462583
58,1963-01-01,1.2396694214876
59,1962-01-01,1.19877334820185
60,1961-01-01,1.07072414764723
61,1960-01-01,1.45797598627786
